,dropout_rate,encoder_hidden_channels,optimizer__weight_decay,valid_loss,valid_err
0,1e-05,140,0.001,0.12255563236206596,0.8085007155724223
1,1e-05,140,0.001,0.09741150140108769,0.007857967622693529
2,1e-05,140,0.001,0.5456515641718664,0.01216784869013332
3,1e-05,140,1e-05,0.1127320646760408,0.007985218623395296
4,1e-05,140,1e-05,0.14459261608620486,0.005486628280933936
5,1e-05,140,1e-05,0.09700327595586286,0.021773401824158878
6,1e-05,140,0.0,0.23149523751167525,0.09246904526262578
7,1e-05,140,0.0,0.07643530890890206,0.010039444827612876
8,1e-05,140,0.0,0.1431165920337662,0.3609048284402586
9,1e-05,110,0.001,0.13271269172822175,0.2626328793067848
10,1e-05,110,0.001,0.06160063510052642,0.12928449097573635
11,1e-05,110,0.001,0.24022704538177042,0.13581795888106307
12,1e-05,110,1e-05,0.23212767557965386,0.18869395572707137
13,1e-05,110,1e-05,0.06608347131799884,0.14342728280159023
14,1e-05,110,1e-05,0.07874856929787818,0.009438535458667241
15,1e-05,110,0.0,0.10185088091992844,0.012178971426944019
16,1e-05,110,0.0,0.13917457088501306,0.049852372501763
17,1e-05,110,0.0,0.48280844381626914,0.020608351698488292
18,1e-05,80,0.001,0.14975567703402182,0.08213062578766372
19,1e-05,80,0.001,0.07295030052229022,0.011306483985709992
20,1e-05,80,0.001,0.5573179253787898,0.708411580435305
21,1e-05,80,1e-05,0.15425030799985628,0.8486404123975593
22,1e-05,80,1e-05,0.07167774174574829,0.030943653567470752
23,1e-05,80,1e-05,0.0613252048545024,0.01180122452471255
24,1e-05,80,0.0,0.12584780467053255,0.4680377651356028
25,1e-05,80,0.0,0.05691141032270695,0.007129516975224903
26,1e-05,80,0.0,0.08750375990262803,0.03075569387696908
27,1e-07,140,0.001,0.216999715925276,0.015657151808155412
28,1e-07,140,0.001,0.09609951607185846,0.009028138343627257
29,1e-07,140,0.001,0.08206022882231456,0.012660754512532457
30,1e-07,140,1e-05,0.1760258140826696,0.14648942305638424
31,1e-07,140,1e-05,0.0595197962210323,0.10290527816740414
32,1e-07,140,1e-05,0.13301781282814987,0.18802931363882636
33,1e-07,140,0.0,0.15354831125696153,0.012705860573739569
34,1e-07,140,0.0,0.10432825892706189,0.00522702086933613
35,1e-07,140,0.0,0.04005483158809297,0.022347779683318247
36,1e-07,110,0.001,0.11166982121809184,0.056448339943181436
37,1e-07,110,0.001,0.07003336489113451,0.07641757270944893
38,1e-07,110,0.001,0.05431091956355993,0.009829601235116114
39,1e-07,110,1e-05,0.14242225823303065,0.015557470077680602
40,1e-07,110,1e-05,0.06876818641845943,0.46783967886175715
41,1e-07,110,1e-05,0.12003042660653591,0.5681452483471361
42,1e-07,110,0.0,0.1761851378591263,0.016191161078556338
43,1e-07,110,0.0,0.07509298190986466,0.022659464821258357
44,1e-07,110,0.0,0.509837854522116,0.05435406932455611
45,1e-07,80,0.001,0.11702750812758479,0.029665995001673218
46,1e-07,80,0.001,0.058832081831305436,0.027917483590486736
47,1e-07,80,0.001,0.029380723094458088,0.009133015320816562
48,1e-07,80,1e-05,0.14280855017564428,0.019359616082935238
49,1e-07,80,1e-05,0.06701902715265969,0.05494377755907043
50,1e-07,80,1e-05,0.15001922784482732,0.012587429679448259
51,1e-07,80,0.0,0.10417392602050303,0.03624142915121009
52,1e-07,80,0.0,0.09077317507839516,0.010093691152424422
53,1e-07,80,0.0,0.1540264227811028,0.0030103917582887663
54,0.0,140,0.001,0.14190160655225928,0.006404551183008533
55,0.0,140,0.001,0.07570359375523894,0.01895909052161715
56,0.0,140,0.001,0.4811580415157711,0.008077952444772163
57,0.0,140,1e-05,0.2176796805061814,0.011844325617492713
58,0.0,140,1e-05,0.053486235137506014,0.03454715942994857
59,0.0,140,1e-05,0.06450811322668897,0.4673276764582476
60,0.0,140,0.0,0.07911215224902401,0.007084522987319097
61,0.0,140,0.0,0.10310478566748182,0.09908478700568035
62,0.0,140,0.0,0.46942237856633523,0.0076991074738372856
63,0.0,110,0.001,0.14881335405839813,0.09933284441817913
64,0.0,110,0.001,0.09694298791933303,0.008896397269084977
65,0.0,110,0.001,0.2547964440110852,0.16087875738849533
66,0.0,110,1e-05,0.16196400031708835,0.018921728481206435
67,0.0,110,1e-05,0.12791036340373646,0.04476484218194221
68,0.0,110,1e-05,0.23265745464493245,0.0170072876736882
69,0.0,110,0.0,0.10307165159032358,0.013581635777197065
70,0.0,110,0.0,0.058514645355835296,0.011159243961221588
71,0.0,110,0.0,0.17119695797343465,0.16594224447314065
72,0.0,80,0.001,0.1071856280091649,0.1827878131964371
73,0.0,80,0.001,0.061183897056753,0.01703334599080908
74,0.0,80,0.001,0.1710845016710022,0.023964999613007798
75,0.0,80,1e-05,0.18352114908092204,0.3060620732375914
76,0.0,80,1e-05,0.055321531264078724,0.010926759712029499
77,0.0,80,1e-05,0.10947493424310403,0.009699245976299786
78,0.0,80,0.0,0.19328194255368752,0.9217925623188818
79,0.0,80,0.0,0.0650786224709094,0.010535411225889413
80,0.0,80,0.0,0.039460968675420566,0.010065870141720556
